CLIENT_NAME;STATUS;CREATED_DATE;CERT_NAME;CERT_CREATED_DATE;RENEWED_DATE;EXP_DATE;CERT_STATUS;FIRST_NAME;LAST_NAME;PH_NO;EMAIL;COUNTRY
Wacker;ACTIVE;16-NOV-17;WackerCert;07-Dec-17;07-Dec-17;15-Jan-18;NEW;Peer;Mohamed;2638746;peer@gmail.com;India
Shorooq;ACTIVE;16-NOV-17;ShorooqCert;07-Dec-17;07-Dec-17;10-Dec-17;NEW;Riswana;peer;12345;Riz@gmail.com;India
Polaris;ACTIVE;16-NOV-17;PolarisCert;07-Dec-17;07-Dec-17;09-Dec-17;NEW;Ashraf;hasan;62948;hasan@gmail.com;India
Virtusa;ACTIVE;16-NOV-17;VirtusaCert;07-Dec-17;07-Dec-17;01-Jan-18;NEW;Ershath;mohideen;46987;ershath@gmail.com;India
Tntowns;ACTIVE;16-NOV-17;TntownsCert;07-Dec-17;07-Dec-17;11-Jan-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Shorooq;ACTIVE;16-NOV-17;ShorooqCert;07-Dec-17;07-Dec-17;22-Jan-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Wacker;ACTIVE;16-NOV-17;WackerCert;07-Dec-17;07-Dec-17;25-Feb-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Genisys;ACTIVE;16-NOV-17;GenisysCert;07-Dec-17;07-Dec-17;21-Dec-17;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Exide;ACTIVE;16-NOV-17;ExideCert;07-Dec-17;07-Dec-17;15-Dec-17;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Moi;ACTIVE;16-NOV-17;MoiCert;07-Dec-17;07-Dec-17;31-Jan-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Virtusa;ACTIVE;16-NOV-17;VirtusaCert;07-Dec-17;07-Dec-17;15-Feb-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
NIIT;ACTIVE;16-NOV-17;NiitCert;07-Dec-17;07-Dec-17;20-Feb-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Exide;ACTIVE;16-NOV-17;ExideCert;07-Dec-17;07-Dec-17;25-Feb-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Genisys;ACTIVE;16-NOV-17;GenisysCert;07-Dec-17;07-Dec-17;01-Jan-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Moi;ACTIVE;16-NOV-17;MoiCert;07-Dec-17;07-Dec-17;15-Dec-17;NEW;Adyar;peer;2638746;adyar@gmail.com;India
CMPS;ACTIVE;16-NOV-17;CmpsCert;07-Dec-17;07-Dec-17;15-Mar-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Tntowns;ACTIVE;16-NOV-17;TntownsCert;07-Dec-17;07-Dec-17;30-Apr-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
Genisys;INACTIVE;16-NOV-17;GenisysCert;07-Dec-17;07-Dec-17;01-May-18;NEW;Adyar;peer;2638746;adyar@gmail.com;India
